Time, GyroX, GyroY, GyroZ, AccX, AccY, AccZ, Pressure, TempMS, Height, KalHeight
12240,65.14,-41.02,-30.36,0.09,0.85,0.23,1017.74,4.77,-5.91,-5.91
12310,53.26,-6.75,-29.20,0.06,0.90,0.23,1017.74,4.77,-5.91,-5.91
12379,18.77,20.54,-56.99,-0.08,0.93,0.27,1017.74,4.77,-5.91,-5.91
12448,67.21,6.90,-68.41,-0.07,0.92,0.23,1017.85,4.77,-6.79,-6.79
12517,91.49,-20.93,-61.72,-0.07,0.90,0.10,1017.85,4.77,-6.79,-6.79
12588,53.46,-53.51,2.19,-0.14,1.04,0.09,1017.74,4.77,-5.91,-5.90
12657,17.94,-24.76,-19.13,-0.10,1.01,0.21,1017.74,4.77,-5.91,-5.91
12728,41.75,-74.39,-35.91,-0.10,0.91,0.13,1017.74,4.77,-5.91,-5.91
12799,57.38,-58.18,1.59,-0.10,0.93,0.04,1017.74,4.77,-5.91,-5.91
12867,54.88,-43.36,-61.55,-0.19,1.01,-0.02,1017.63,4.77,-5.03,-5.03
12939,30.89,-7.57,-57.39,-0.18,0.89,0.03,1017.79,4.79,-6.31,-6.32
13009,51.12,6.37,-5.88,-0.14,0.88,0.05,1017.68,4.79,-5.43,-5.43
13076,51.06,-30.42,25.10,-0.27,1.03,-0.14,1017.74,4.77,-5.91,-5.91
13147,-50.77,57.73,-16.61,-0.33,0.98,-0.28,1017.74,4.77,-5.91,-5.91
13219,11.85,-7.46,-25.60,-0.19,0.96,-0.15,1017.90,4.79,-7.19,-7.19
13290,29.76,-16.64,-21.62,-0.13,1.10,0.08,1017.79,4.79,-6.31,-6.30
13361,17.76,-2.07,-3.10,-0.21,0.86,0.00,1017.74,4.77,-5.91,-5.91
13430,-4.50,3.21,24.46,-0.19,1.00,-0.10,1017.79,4.79,-6.31,-6.31
13498,-9.48,7.39,-17.45,-0.17,0.95,-0.04,1017.79,4.79,-6.31,-6.31
13568,16.52,27.76,-17.42,-0.17,0.93,-0.03,1017.79,4.79,-6.31,-6.31
13639,25.10,5.06,4.64,-0.21,0.89,-0.01,1017.79,4.79,-6.31,-6.31
13707,13.17,1.15,-16.07,-0.20,0.96,-0.04,1017.79,4.79,-6.31,-6.31
13777,-1.61,-21.69,12.67,-0.24,0.97,-0.05,1017.79,4.79,-6.31,-6.31
13847,6.66,-23.34,11.07,-0.24,0.99,-0.12,1017.90,4.79,-7.19,-7.19
13917,7.35,-6.35,-2.67,-0.21,0.99,-0.08,1017.79,4.79,-6.31,-6.30
13986,-1.43,-4.06,-15.48,-0.20,0.96,-0.08,1017.74,4.77,-5.91,-5.91
14057,-5.09,2.69,-2.33,-0.27,0.89,-0.09,1017.79,4.79,-6.31,-6.31
14126,7.72,14.19,-4.38,-0.26,0.93,-0.13,1017.74,4.77,-5.91,-5.91
